time_stamp,actuator_state
1624787585.46453,fan_off
1624787585.84515,fan_on
1624787586.38311,fan_off
1624787586.68115,fan_on
1624787586.98608,fan_off
1624787587.39631,fan_on
1624787587.81441,fan_off
1624787588.21981,fan_on
1624787588.68545,fan_off
1624787589.07307,fan_on
1624787589.49981,fan_off
1624787589.90375,fan_on
1624787590.25662,fan_off
1624787590.62254,fan_on
1624787591.07161,fan_off
1624787591.49173,fan_on
1624787591.91342,fan_off
1624787592.25115,fan_on
1624787592.68554,fan_off
1624787593.11847,fan_on
1624787593.27226,fan_off
1624787593.43522,fan_on
1624787593.62252,fan_off
1624787593.92623,fan_on
1624787594.12408,fan_off
1624787594.3372,fan_on
1624787594.46906,fan_off
1624787594.65752,fan_on
1624787594.82029,fan_off
1624787595.00153,fan_on
1624787595.17934,fan_off
1624787595.46815,fan_on
1624787595.6407,fan_off
1624787595.8657,fan_on
1624787596.02636,fan_off
1624787596.24008,fan_on
1624787596.39943,fan_off
1624787596.61895,fan_on
1624787596.80238,fan_off
1624787597.04807,fan_on
1624787597.2564,fan_off
1624787597.46741,fan_on
1624787597.68217,fan_off
1624787597.89983,fan_on
1624787598.03909,fan_off
1624787598.23734,fan_on
1624787598.42423,fan_off
1624787598.67944,fan_on
1624787598.86922,fan_off
1624787599.09274,fan_on
1624787599.23795,fan_off
1624787599.46722,fan_on
1624787599.62221,fan_off
1624787599.76238,fan_on
1624787599.9551,fan_off
1624787600.02411,fan_on
1624787600.19368,fan_off
1624787600.29774,fan_on
1624787600.45133,fan_off
1624787600.59663,fan_on
1624787600.74604,fan_off
1624787600.87778,fan_on
1624787601.01965,fan_off
1624787601.17325,fan_on
1624787601.32998,fan_off
1624787601.47738,fan_on
1624787601.63034,fan_off
1624787601.76768,fan_on
1624787601.92793,fan_off
1624787602.05652,fan_on
1624787602.22393,fan_off
1624787602.36828,fan_on
1624787602.55603,fan_off
1624787603.06075,fan_on
1624787603.60317,fan_off
1624787605.87231,fan_on
1624787607.07551,light_on
1624787607.87404,fan_off
1624787608.26168,fan_on
1624787608.64998,fan_off
1624787609.05964,fan_on
1624787609.49489,light_off
1624787610.14497,water_on
1624787610.59593,uv_on
1624787610.98126,light_on
1624787611.39228,water_off
1624787611.74213,fan_off
1624787612.22289,fan_on
1624787612.97921,fan_off
1624787613.80062,fan_on
1624787614.25859,water_on
1624787614.62434,uv_off
1624787614.98277,light_off
1624787615.3633,uv_on
1624787615.73999,light_on
1624787616.18859,water_off
1624787616.55393,light_off
1624787616.98495,uv_off
1624787617.35808,water_on
1624787617.77094,light_on
1624787618.12206,fan_off
1624787618.57303,water_off
1624787620.18004,fan_on
1624787620.94131,water_on
1624787621.29916,uv_on
1624787621.68669,light_off
1624787622.13684,uv_off
1624787622.52118,water_off
1624787624.69408,fan_off
1624787626.40209,fan_on
1624787639.43513,fan_off
1624787665.62171,fan_on
1624787666.04419,fan_off
1624787666.42371,fan_on
1624787666.83894,fan_off
1624787667.19597,fan_on
1624787667.8984,fan_off
1624787668.54193,fan_on
1624787668.76854,fan_off
1624787673.22955,fan_on
1624787676.97202,light_on
1624787677.23018,water_on
1624787677.61004,uv_on
1624787677.94699,light_off
1624787678.2256,fan_off
1624787678.72075,water_off
1624787679.13189,uv_off
1624787679.86682,fan_on
1624787680.32643,light_on
